Title,Date,Rating,Comments
FORD V FERRARI,16 January 2021,9/10,"I was in the middle of writing a pen pal letter when my dad put this film on earlier tonight. At first I wasn't paying much attention. But, per usual, it was Christian Bale that pulled me in. I set my pen and paper aside for later and sat on the couch to watch what I expected to be just another sports film. By the end of it, both my dad and I were a teary-eyed messes.There are some truly beautiful performances by Bale and Damon, and the chemistry between the entire damn cast is incredible. Caitriona Balfe is so charming as Mollie and I honestly wanted to punch Josh Lucas in the face the entire time he was on screen (in a good way, that means he played his part extremely well). The story was exceptionally crafted and the overall aesthetics were stunning. And the cars. Oh, the cars. You can't watch this film and come out of it without saying that you want to ride passenger in a race car like Henry Ford II.Truly, this two-and-a-half-hour work of art was everything I wanted and more, giving me hope for the future of cinema. It was so much more than just another sports film. It was moving, powerful, and goddamn hilarious when it needed to be. This is a film I truly think I'll watch again and again in the future-and not just to giggle at Christian Bale's real voice."
FORD V FERRARI,18 December 2020,8/10,"Im a car guy, so I couldn't help but notice all the flaws in the vehicles (mostly the sound effects were completely wrong! the 427 Cobras have deep LOUD raw throaty power, the buzzy sound of the cars in the movie with the mysterious tuner whine sounds were disappointing. Christian Bales character was brilliant!! His enthusiasm for cars was addicting...Matt Damon just chewed his cud every scene, gum, food, whatever was in his mouth, chewing the entire time. One scene it seemed like he was borrowing from Oceans 13, (where his mom bailed him out of jail) same line delivery. He didn't even try to look like C. Shelby"
FORD V FERRARI,19 January 2021,10/10,"I recommend this movie to anyone who wants to see some ol' school style movie!A few words about the movie. The movie was just amazing. I haven't seen such an amazing movie in years. The movie had it all. Feelings, action, adrenaline, personal - family life, drama and more. The way in which all this was connected was a sign that it had an impressive director. Good job! That's a thousand bucks! From me 10/10 stars! When there's another chance, I'll watch it live in the movies as soon as we're done with the corovirus. And when there's a chance, I really want to shake hands with the director, and the actors who played in the movie."
FORD V FERRARI,7 February 2021,10/10,"The heroic story of how a massive corporation, somehow against all odds, beat the owner of a car company that was more passionate about winning races than turning a profit."
FORD V FERRARI,11 February 2021,9/10,The cinematography to story to acting....... Everything is just so amazing... The setting is also really good... Best 💯
FORD V FERRARI,17 February 2021,10/10,"One amazing movie, really loved the story, music and perfect choice of artist selections"
FORD V FERRARI,17 April 2021,9/10,"I really liked the movie as the 1966 le mans is one of my favourite races. I like how the movie starts off with Carroll Shelby racing in the rain really fast. Although that he didn't catch fire in that race, I believe this was a good idea as it shows that Shelby is a man of commitment no matter the cost. The scene then changes to him being in the doctor's office and the doctor telling him that he should stop racing due to his hereditary heart condition. Not a lot of people may know this but Ken Miles' nickname was side bite as he used to talk with the side of his mouth. I believe that mentioning his nickname would've been a great addition to the movie. One thing that I didn't like was how the producers showed Ken Miles staying at the garage during the 65' Le Mans race. In real life, he was actually racing in the 65' Le Mans but had to forfeit the race due to the GT40 Mk1's gearbox problems. There are other inaccuracies in this film also but I believe that it makes the film an interesting film. I watched the film twice and to be honest, I'd watch the film a lot more as it's a very good movie, in my opinion of course."
FORD V FERRARI,8 May 2021,10/10,It's the kind of movie where you are constantly hooked to the screen and loving and living every moment of it.
FORD V FERRARI,20 June 2021,10/10,"Very impressed and didn't realize is a story that about dream,commercial also bureaucratism. Line from this movie is very sharp as well ,two actors catch the feeling of true friendship. I can't help feeling is a bit western cowboy spirit in it. Modern day of chasing the spark of dreams."
FORD V FERRARI,30 October 2021,10/10,"It's like watching F1 live from the side of the track. World-class sound effects, picture quality and player performance. Watch without thinking. The best racing movie."
FORD V FERRARI,17 August 2021,9/10,"An all-star cast tells us how Ford dethroned Ferrari at the 1966 Le Mans after Henry Ford gives himself the goal to beat Ferrari for which he enlists former Le Mans winner and car designer Carroll Shelby (Matt Damon) and driver Ken Miles (Christian Bale). This is not a movie I initially wanted to watch. I cared about who won the 1966 Le Mans about as much as I care about who won the 2009 Air Guitar World Championship (for the record: Sylvain ""Gunther Love"" Quimene). I can now tell you that this is the world's oldest active sports car race in endurance racing, held annually since 1923 near Le Mans, France. It is considered one of the most prestigious automobile races in the world. Unlike fixed-distance races whose winner is determined by minimum time, the 24 Hours of Le Mans is won by the car covering the greatest distance over 24 hours. You do not need to be a gear head to thoroughly enjoy this movie!I initially watched only because two of my favourite actors were in it. I ended up laughing out loud, being on the edge of my seat and tearing up. Christian Bale and Matt Damon are so good that when they start fighting like 2 middle age friends, I didn't even think about Batman and Jason Bourne getting in a fistfight until the movie was over, watching interviews with the actors. Once again, Christian Bale had to lose a considerable amount of weight to play Ken Miles having just finished Vice (2018), where he played Dick Cheney and had 7 months to go down from 240 lbs to 170 lbs. Not only to match Miles's physicality but also to fit in the GT40. I did not know the backstory, so in case you don't know what happened, I will not reveal most of the critical events as living them in real-time was fantastic. It had been so long since I had an actual story unfold in front of me and ultimately winning me over. This was the first time in months, where I completely forgot about our daily reality. Some heavy foreshadowing had me cheat and google something, and I wish I had not. This is a movie about An all-star cast tells us how Ford dethroned Ferrari at the 1966 Le Mans after Henry Ford gives himself the goal to beat Ferrari for which he enlists former Le Mans winner and car designer Carroll Shelby (Matt Damon) and driver Ken Miles (Christian Bale). This is not a movie I initially wanted to watch. I cared about who won the 1966 Le Mans about as much as I care about who won the 2009 Air Guitar World Championship (for the record: Sylvain ""Gunther Love"" Quimene). I can now tell you that this is the world's oldest active sports car race in endurance racing, held annually since 1923 near Le Mans, France. It is considered one of the most prestigious automobile races in the world. Unlike fixed-distance races whose winner is determined by minimum time, the 24 Hours of Le Mans is won by the car covering the greatest distance over 24 hours. You do not need to be a gear head to thoroughly enjoy this movie!I initially watched only because two of my favourite actors were in it. I ended up laughing out loud, being on the edge of my seat and tearing up. Christian Bale and Matt Damon are so good that when they start fighting like 2 middle age friends, I didn't even think about Batman and Jason Bourne getting in a fistfight until the movie was over, watching interviews with the actors. Once again, Christian Bale had to lose a considerable amount of weight to play Ken Miles having just finished Vice (2018), where he played Dick Cheney and had 7 months to go down from 240 lbs to 170 lbs. Not only to match Miles's physicality but also to fit in the GT40. I did not know the backstory, so in case you don't know what happened, I will not reveal most of the critical events as living them in real-time was fantastic. It had been so long since I had an actual story unfold in front of me and ultimately winning me over. This was the first time in months, where I completely forgot about our daily reality. Some heavy foreshadowing had me cheat and google something, and I wish I had not. This is a movie about friendship and realizing your dreams and accepting that corporate forces are what they are and that you must find happiness in the little things and your own personal goals. Bale and Damon have great chemistry. Caitriona Balfe, Jon Bernthal, Tracy Letts, Josh Lucas, Noah Jupe complete the cast.. Bale and Damon have great chemistry. Caitriona Balfe, Jon Bernthal, Tracy Letts, Josh Lucas, Noah Jupe complete the cast."
